,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1,Trade_Date,CALL_USDJPY,PUT_USDJPY,Returns,Forecast_Returns,hvol21,Forecast_Volatility,Basic_PL,Total_Basic_PL,Vol_PL,Total_Vol_PL,Forecast_Vol_PL,Total_Forecast_Vol_PL
103,103,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-06-03,03.06.2008,97741,CME,0,97,164454,67317,71334,21091,15012,5729,119,31830,33205,315,2173,685,0,137857,132478,26597,31976,-7234.0,5003.0,-23209.0,1754.0,20.0,408.0,4.0,-10069.0,1034.0,-1355.0,-577.0,26.0,-1.0,-5221.0,-21339.0,-2013.0,14105.0,100,40.9,43.4,12.8,9.1,3.5,0.1,19.4,20.2,0.2,1.3,0.4,0.0,83.8,80.6,16.2,19.4,95,16.0,13.0,4.0,8.0,4.0,,22.0,24.0,4.0,5.0,,0.0,54.0,51.0,44.1,40.5,56.3,51.1,33.8,33.0,45.5,42.4,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.0211424617514,LONG,-0.0289720232815,LONG,0.44756761969,LONG,2008-06-09,-2175.17,1986.94,-0.02853143018,0.00109800880495,0.133022917007,0.0501646916587,1986.94,-37367.28,1986.94,5907.68,1986.94,13679.0
104,104,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-06-10,10.06.2008,97741,CME,0,97,202372,72402,69131,41917,15126,4849,145,24766,32676,20309,2294,635,0,176959,169662,25413,32710,37918.0,5085.0,-2203.0,20826.0,114.0,-880.0,26.0,-7064.0,-529.0,19994.0,121.0,-50.0,0.0,39102.0,37184.0,-1184.0,734.0,100,35.8,34.2,20.7,7.5,2.4,0.1,12.2,16.1,10.0,1.1,0.3,0.0,87.4,83.8,12.6,16.2,89,15.0,15.0,7.0,8.0,,,20.0,22.0,4.0,4.0,,0.0,54.0,48.0,48.0,45.5,61.0,58.3,28.3,25.5,36.3,34.3,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.137704118937,LONG,0.0231112178785,SHORT,0.514493116395,LONG,2008-06-16,1462.44,1676.3,0.066925496705,-0.0498033461075,0.324949318602,0.0575605306176,1676.3,-35690.98,0.0,5907.68,1676.3,15355.3
105,105,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-06-17,17.06.2008,97741,CME,0,97,161544,50908,58210,18782,14888,5119,150,29141,28561,20120,2671,1086,0,136660,132028,24884,29516,-40828.0,-21494.0,-10921.0,-23135.0,-238.0,270.0,5.0,4375.0,-4115.0,-189.0,377.0,451.0,0.0,-40299.0,-37634.0,-529.0,-3194.0,100,31.5,36.0,11.6,9.2,3.2,0.1,18.0,17.7,12.5,1.7,0.7,0.0,84.6,81.7,15.4,18.3,80,9.0,12.0,4.0,7.0,,,22.0,18.0,,6.0,,0.0,49.0,38.0,47.4,46.0,59.5,57.8,31.5,26.2,40.2,36.4,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.010051644657,SHORT,-0.0669183819352,LONG,0.488279102314,LONG,2008-06-23,1317.16,-3440.9,-0.026214014081,0.0491954382721,0.33964300812,0.0548434142272,-3440.9,-39131.88,0.0,5907.68,-3440.9,11914.4
106,106,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-06-24,24.06.2008,97741,CME,0,97,164015,52238,45470,22399,14935,4716,169,27869,44333,20120,2259,1076,0,139989,138283,24026,25732,2471.0,1330.0,-12740.0,3617.0,47.0,-403.0,19.0,-1272.0,15772.0,0.0,-412.0,-10.0,0.0,3329.0,6255.0,-858.0,-3784.0,100,31.8,27.7,13.7,9.1,2.9,0.1,17.0,27.0,12.3,1.4,0.7,0.0,85.4,84.3,14.6,15.7,83,11.0,11.0,4.0,7.0,,,23.0,21.0,,5.0,,0.0,49.0,41.0,46.4,42.7,58.7,56.8,29.5,23.7,38.5,35.7,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.228026924462,LONG,0.0692676137061,SHORT,0.520024426238,LONG,2008-06-30,-185.62,1998.56,0.031745323924,-0.0301199641617,0.335804280128,0.0539585567063,1998.56,-37133.32,0.0,5907.68,1998.56,13912.96
107,107,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-07-01,01.07.2008,97741,CME,0,97,175598,52479,62812,23191,14659,4641,393,36443,22007,20243,2307,18674,0,149715,151961,25883,23637,11583.0,241.0,17342.0,792.0,-276.0,-75.0,224.0,8574.0,-22326.0,123.0,48.0,17598.0,0.0,9726.0,13678.0,1857.0,-2095.0,100,29.9,35.8,13.2,8.3,2.6,0.2,20.8,12.5,11.5,1.3,10.6,0.0,85.3,86.5,14.7,13.5,88,10.0,13.0,5.0,7.0,,,25.0,21.0,,6.0,,0.0,53.0,45.0,43.1,54.3,57.1,63.5,29.6,35.6,39.8,42.8,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.246980325064,SHORT,-0.0896253827272,LONG,0.519067357513,LONG,2008-07-07,1249.24,1642.65,-0.000957068725,0.0174705483385,0.291338808817,0.050955551722,1642.65,-35490.67,0.0,5907.68,1642.65,15555.61
108,108,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-07-08,08.07.2008,97741,CME,0,97,175428,58054,57495,22815,14719,4806,379,28221,31340,20222,4545,15789,0,148955,152846,26473,22582,-170.0,5575.0,-5317.0,-376.0,60.0,165.0,-14.0,-8222.0,9333.0,-21.0,2238.0,-2885.0,0.0,-760.0,885.0,590.0,-1055.0,100,33.1,32.8,13.0,8.4,2.7,0.2,16.1,17.9,11.5,2.6,9.0,0.0,84.9,87.1,15.1,12.9,85,10.0,13.0,5.0,7.0,,,22.0,20.0,,7.0,,0.0,51.0,43.0,43.2,51.8,57.5,61.9,28.9,33.3,38.1,41.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.0523664814224,LONG,0.00483777445067,SHORT,0.507708066581,LONG,2008-07-14,1418.78,1865.3,-0.011359290932,0.00576465509646,0.177290514218,0.0487998255562,1865.3,-33625.37,1865.3,7772.98,1865.3,17420.91
109,109,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-07-15,15.07.2008,97741,CME,0,97,213992,55862,104289,22807,17006,4899,374,62267,21744,20355,3225,19928,0,181896,194396,32096,19596,38564.0,-2192.0,46794.0,-8.0,2287.0,93.0,-5.0,34046.0,-9596.0,133.0,-1320.0,4139.0,0.0,32941.0,41550.0,5623.0,-2986.0,100,26.1,48.7,10.7,7.9,2.3,0.2,29.1,10.2,9.5,1.5,9.3,0.0,85.0,90.8,15.0,9.2,98,9.0,17.0,5.0,8.0,,,35.0,17.0,4.0,6.0,,0.0,64.0,45.0,36.1,58.7,49.1,68.7,26.2,44.4,35.3,52.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.482353501327,SHORT,-0.302383375689,LONG,0.552704861904,LONG,2008-07-21,845.57,1801.2,0.044996795323,-0.0292783789427,0.191909149851,0.0517559274263,1801.2,-31824.17,1801.2,9574.18,1801.2,19222.11
110,110,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-07-22,22.07.2008,97741,CME,0,97,187785,67993,72921,22054,15209,5434,374,33688,32466,20624,3302,15111,0,163244,168984,24541,18801,-26207.0,12131.0,-31368.0,-753.0,-1797.0,535.0,0.0,-28579.0,10722.0,269.0,77.0,-4817.0,0.0,-18652.0,-25412.0,-7555.0,-795.0,100,36.2,38.8,11.7,8.1,2.9,0.2,17.9,17.3,11.0,1.8,8.0,0.0,86.9,90.0,13.1,10.0,97,10.0,16.0,5.0,9.0,,,34.0,17.0,5.0,5.0,,0.0,63.0,46.0,44.0,50.9,57.8,64.2,31.0,35.6,40.1,45.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.018472050065,SHORT,-0.0349716848574,LONG,0.473526134767,LONG,2008-07-28,1245.51,1639.22,-0.079178727137,0.065486983678,0.369656270034,0.0604414667399,1639.22,-30184.95,0.0,9574.18,1639.22,20861.33
111,111,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-07-29,29.07.2008,97741,CME,0,97,178959,77377,51368,21171,13566,5648,383,22313,43680,20686,1763,12445,160,157419,155541,21540,23418,-8826.0,9384.0,-21553.0,-883.0,-1643.0,214.0,9.0,-11375.0,11214.0,62.0,-1539.0,-2666.0,160.0,-5825.0,-13443.0,-3001.0,4617.0,100,43.2,28.7,11.8,7.6,3.2,0.2,12.5,24.4,11.6,1.0,7.0,0.1,88.0,86.9,12.0,13.1,91,11.0,12.0,5.0,9.0,,,25.0,23.0,7.0,4.0,,,56.0,50.0,50.0,45.4,63.8,60.2,36.7,29.6,45.2,41.0,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.323776764202,LONG,0.202019495903,SHORT,0.412095347143,LONG,2008-08-04,-3581.61,1526.81,-0.061430787624,-0.00901203859289,0.402273642799,0.0621674165942,1526.81,-28658.14,0.0,9574.18,1526.81,22388.14
112,112,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-08-05,05.08.2008,97741,CME,0,97,200818,88398,60336,21468,13901,6070,518,29895,56816,20710,2516,11714,0,177406,177632,23412,23186,21859.0,11021.0,8968.0,297.0,335.0,422.0,135.0,7582.0,13136.0,24.0,753.0,-731.0,-160.0,19987.0,22091.0,1872.0,-232.0,100,44.0,30.0,10.7,6.9,3.0,0.3,14.9,28.3,10.3,1.3,5.8,0.0,88.3,88.5,11.7,11.5,106,15.0,12.0,4.0,9.0,4.0,,27.0,30.0,7.0,5.0,,0.0,62.0,58.0,47.7,44.3,59.9,57.4,35.4,29.6,43.5,40.6,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.310468106699,LONG,0.188672395014,SHORT,0.392118571929,LONG,2008-08-11,1201.11,1473.07,-0.019976775214,-0.0214559236853,0.397735786058,0.057951963845,1473.07,-27185.07,0.0,9574.18,1473.07,23861.21
113,113,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-08-12,12.08.2008,97741,CME,0,97,208622,99594,60992,20666,12738,6286,443,31519,61958,20664,2164,10598,0,187788,181607,20834,27015,7804.0,11196.0,656.0,-802.0,-1163.0,216.0,-75.0,1624.0,5142.0,-46.0,-352.0,-1116.0,0.0,10382.0,3975.0,-2578.0,3829.0,100,47.7,29.2,9.9,6.1,3.0,0.2,15.1,29.7,9.9,1.0,5.1,0.0,90.0,87.1,10.0,12.9,98,17.0,11.0,6.0,8.0,4.0,,24.0,27.0,4.0,4.0,,0.0,59.0,52.0,49.5,43.9,62.9,58.5,38.9,30.5,47.7,42.3,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.325630903859,LONG,0.240382100557,SHORT,0.339150546678,LONG,2008-08-18,1218.34,1545.7,-0.052968025251,0.0176221764956,0.178894183458,0.0587827111674,1545.7,-25639.37,1545.7,11119.88,1545.7,25406.91
114,114,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-08-19,19.08.2008,97741,CME,0,97,212982,106030,59779,20290,13246,6496,450,27024,64666,20643,2245,10748,0,189928,183072,23054,29910,4360.0,6436.0,-1213.0,-376.0,508.0,210.0,7.0,-4495.0,2708.0,-21.0,81.0,150.0,0.0,2140.0,1465.0,2220.0,2895.0,100,49.8,28.1,9.5,6.2,3.1,0.2,12.7,30.4,9.7,1.1,5.0,0.0,89.2,86.0,10.8,14.0,101,19.0,10.0,6.0,7.0,,,25.0,28.0,4.0,5.0,,0.0,62.0,52.0,50.8,43.1,62.8,58.5,39.3,30.0,47.8,42.6,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.410535500055,LONG,0.278941432612,SHORT,0.341910647351,LONG,2008-08-25,1174.02,1532.1,0.002760100673,-0.0289487475341,0.214538236545,0.0547758774079,1532.1,-24107.27,1532.1,12651.98,1532.1,26939.01
115,115,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-08-26,26.08.2008,97741,CME,0,97,209138,105323,66675,21052,13266,6520,456,24479,59971,20646,2424,10199,0,187646,185519,21492,23619,-3844.0,-707.0,6896.0,762.0,20.0,24.0,6.0,-2545.0,-4695.0,3.0,179.0,-549.0,0.0,-2282.0,2447.0,-1562.0,-6291.0,100,50.4,31.9,10.1,6.3,3.1,0.2,11.7,28.7,9.9,1.2,4.9,0.0,89.7,88.7,10.3,11.3,96,15.0,14.0,6.0,7.0,,,23.0,25.0,4.0,6.0,,0.0,58.0,51.0,53.5,46.1,65.7,60.3,41.8,32.5,50.1,44.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.420272350503,LONG,0.224700287213,SHORT,0.340948145153,LONG,2008-09-01,1570.32,1989.38,-0.000962502198,0.00225836302357,0.183741512022,0.0515907273292,1989.38,-22117.89,1989.38,14641.36,1989.38,28928.39
116,116,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-02,02.09.2008,97741,CME,0,97,205813,101563,79964,21640,13354,6513,467,22550,42003,21001,2404,12322,0,182979,183910,22834,21903,-3325.0,-3760.0,13289.0,588.0,88.0,-7.0,11.0,-1929.0,-17968.0,355.0,-20.0,2123.0,0.0,-4667.0,-1609.0,1342.0,-1716.0,100,49.3,38.9,10.5,6.5,3.2,0.2,11.0,20.4,10.2,1.2,6.0,0.0,88.9,89.4,11.1,10.6,95,14.0,14.0,6.0,7.0,,,21.0,28.0,6.0,5.0,,0.0,56.0,54.0,53.4,52.4,65.5,61.8,41.2,37.2,49.5,45.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.301349278887,LONG,0.118985054565,SHORT,0.344339860069,LONG,2008-09-08,1886.8,-3430.78,0.003391714916,-0.00198135311339,0.197701669832,0.0491939638893,-3430.78,-25548.67,-3430.78,11210.58,-3430.78,25497.61
117,117,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-09,09.09.2008,97741,CME,0,97,206916,96024,96450,37194,13834,6471,609,22698,22237,8799,3686,15101,279,183123,187140,23793,19776,1103.0,-5539.0,16486.0,15554.0,480.0,-42.0,142.0,148.0,-19766.0,-12202.0,1282.0,2779.0,279.0,144.0,3230.0,959.0,-2127.0,100,46.4,46.6,18.0,6.7,3.1,0.3,11.0,10.7,4.3,1.8,7.3,0.1,88.5,90.4,11.5,9.6,90,15.0,12.0,8.0,7.0,,4.0,21.0,20.0,5.0,7.0,,,60.0,48.0,49.4,57.9,61.3,69.0,38.4,44.9,46.1,52.1,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.0102592633804,SHORT,-0.00221328595031,LONG,0.362620044324,LONG,2008-09-15,2912.89,3456.91,0.018280184255,-0.00751103425425,0.0612603007454,0.0482281906647,3456.91,-22091.76,3456.91,14667.49,3456.91,28954.52
118,118,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-16,16.09.2008,97741,CME,0,97,132133,49893,59159,435,18310,6218,744,35625,16619,44,3069,29676,0,108120,112895,24013,19238,-74783.0,-46131.0,-37291.0,-36759.0,4476.0,-253.0,135.0,12927.0,-5618.0,-8755.0,-617.0,14575.0,-279.0,-75003.0,-74245.0,220.0,-538.0,100,37.8,44.8,0.3,13.9,4.7,0.6,27.0,12.6,0.0,2.3,22.5,0.0,81.8,85.4,18.2,14.6,87,8.0,12.0,,9.0,,4.0,27.0,19.0,,6.0,,0.0,55.0,40.0,36.5,51.3,50.7,62.3,36.5,51.1,50.7,62.1,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.363792971442,SHORT,-0.0849686388145,LONG,0.492987606001,LONG,2008-09-22,2538.84,2996.76,0.130367561677,-0.0585330676609,0.449104366825,0.0765121556129,2996.76,-19095.0,0.0,14667.49,0.0,28954.52
119,119,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-23,23.09.2008,97741,CME,0,97,141677,51905,80442,335,30074,6457,738,31604,13905,31,3824,26308,0,118511,128216,23166,13461,9544.0,2012.0,21283.0,-100.0,11764.0,239.0,-6.0,-4021.0,-2714.0,-13.0,755.0,-3368.0,0.0,10391.0,15321.0,-847.0,-5777.0,100,36.6,56.8,0.2,21.2,4.6,0.5,22.3,9.8,0.0,2.7,18.6,0.0,83.6,90.5,16.4,9.5,89,9.0,13.0,,9.0,,4.0,25.0,21.0,,7.0,,0.0,54.0,44.0,41.4,50.0,53.7,71.0,41.4,49.9,53.7,70.8,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.388912083324,SHORT,-0.215622567946,LONG,0.646492020476,LONG,2008-09-29,2783.06,3410.24,0.153504414475,-0.0118408081653,0.551790098132,0.099176805688,3410.24,-15684.76,0.0,14667.49,0.0,28954.52
120,120,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-30,30.09.2008,97741,CME,0,97,159908,61027,85402,293,27544,6050,699,40682,21966,106,4474,31557,0,134825,146073,25083,13835,18231.0,9122.0,4960.0,-42.0,-2530.0,-407.0,-39.0,9078.0,8061.0,75.0,650.0,5249.0,0.0,16314.0,17857.0,1917.0,374.0,100,38.2,53.4,0.2,17.2,3.8,0.4,25.4,13.7,0.1,2.8,19.7,0.0,84.3,91.3,15.7,8.7,95,10.0,12.0,,9.0,,4.0,31.0,20.0,5.0,8.0,,0.0,66.0,41.0,38.6,56.5,50.4,72.2,38.6,56.4,50.4,72.1,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.298748563402,SHORT,-0.166462927426,LONG,0.639816633923,LONG,2008-10-06,3870.02,4689.17,-0.006675386553,0.0843864912971,0.575555635961,0.0876068550768,4689.17,-10995.59,0.0,14667.49,0.0,28954.52
121,121,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-10-07,07.10.2008,97741,CME,0,97,158003,56328,95402,294,27539,6430,665,40643,15335,641,4951,26276,0,131061,145043,26942,12960,-1905.0,-4699.0,10000.0,1.0,-5.0,380.0,-34.0,-39.0,-6631.0,535.0,477.0,-5281.0,0.0,-3764.0,-1030.0,1859.0,-875.0,100,35.6,60.4,0.2,17.4,4.1,0.4,25.7,9.7,0.4,3.1,16.6,0.0,82.9,91.8,17.1,8.2,99,12.0,11.0,,10.0,,4.0,32.0,21.0,8.0,6.0,4.0,0.0,69.0,45.0,35.4,59.6,46.9,73.0,35.4,59.6,46.9,73.0,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.452106184573,SHORT,-0.257523232057,LONG,0.621419529571,LONG,2008-10-13,3881.25,4967.18,-0.018397104352,0.00645728991616,0.647636064646,0.0783588453987,4967.18,-6028.41,0.0,14667.49,0.0,28954.52
122,122,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-10-14,14.10.2008,97741,CME,0,97,132983,58440,79271,353,13619,6599,1056,30320,14085,72,2946,21122,0,106806,122558,26177,10425,-25020.0,2112.0,-16131.0,59.0,-13920.0,169.0,391.0,-10323.0,-1250.0,-569.0,-2005.0,-5154.0,0.0,-24255.0,-22485.0,-765.0,-2535.0,100,43.9,59.6,0.3,10.2,5.0,0.8,22.8,10.6,0.1,2.2,15.9,0.0,80.3,92.2,19.7,7.8,89,12.0,13.0,4.0,8.0,,5.0,26.0,19.0,4.0,4.0,4.0,0.0,56.0,46.0,35.0,53.4,46.8,68.9,35.0,53.3,46.4,68.7,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.365611980633,SHORT,-0.151266057178,LONG,0.347215352656,LONG,2008-10-20,2507.62,-58885.54,-0.274204176915,0.134583535061,1.27524539587,0.142759882127,-58885.54,-64913.95,0.0,14667.49,0.0,28954.52
123,123,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-10-21,21.10.2008,97741,CME,0,97,138768,55524,72362,334,10308,14532,3727,32804,11987,69,2946,18514,0,105712,121525,33056,17243,5785.0,-2916.0,-6909.0,-19.0,-3311.0,7933.0,2671.0,2484.0,-2098.0,-3.0,0.0,-2608.0,0.0,-1094.0,-1033.0,6879.0,6818.0,100,40.0,52.1,0.2,7.4,10.5,2.7,23.6,8.6,0.0,2.1,13.3,0.0,76.2,87.6,23.8,12.4,89,12.0,13.0,,7.0,4.0,5.0,26.0,18.0,,4.0,5.0,0.0,55.0,45.0,34.3,43.0,45.3,64.8,34.3,42.9,45.2,62.4,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.464758545243,SHORT,-0.131664138373,LONG,-0.170048309179,SHORT,2008-10-27,-6125.87,7729.62,-0.517263661835,0.127892021181,1.74883788923,0.265974053377,-6125.87,-71039.82,0.0,14667.49,0.0,28954.52
124,124,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-10-28,28.10.2008,97741,CME,0,97,143020,57224,69720,334,10424,13148,3489,32164,14762,79,2606,15868,0,106320,117400,36700,25620,4252.0,1700.0,-2642.0,0.0,116.0,-1384.0,-238.0,-640.0,2775.0,10.0,-340.0,-2646.0,0.0,608.0,-4125.0,3644.0,8377.0,100,40.0,48.7,0.2,7.3,9.2,2.4,22.5,10.3,0.1,1.8,11.1,0.0,74.3,82.1,25.7,17.9,85,12.0,13.0,,7.0,4.0,4.0,22.0,19.0,5.0,4.0,4.0,0.0,53.0,44.0,33.9,40.2,45.1,59.4,33.9,40.2,45.1,57.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.370839193624,SHORT,-0.0984371061255,LONG,-0.115560834889,SHORT,2008-11-03,4098.64,5379.71,0.05448747429,-0.29982157712,1.8776958934,0.230198156925,4098.64,-66941.18,0.0,14667.49,0.0,28954.52
125,125,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-11-04,04.11.2008,97741,CME,0,97,129500,57108,65265,369,7531,22060,3312,29777,10995,107,3156,10081,0,101360,112189,28140,17311,-13520.0,-116.0,-4455.0,35.0,-2893.0,8912.0,-177.0,-2387.0,-3767.0,28.0,550.0,-5787.0,0.0,-4960.0,-5211.0,-8560.0,-8309.0,100,44.1,50.4,0.3,5.8,17.0,2.6,23.0,8.5,0.1,2.4,7.8,0.0,78.3,86.6,21.7,13.4,89,12.0,14.0,,5.0,5.0,4.0,26.0,17.0,5.0,6.0,4.0,0.0,56.0,45.0,36.6,47.2,48.5,63.3,36.6,44.9,48.5,60.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.460659275974,SHORT,-0.066656860582,LONG,-0.490993883275,SHORT,2008-11-10,2960.55,4331.51,-0.375433048386,0.225979852606,1.75306725624,0.261436604458,2960.55,-63980.63,0.0,14667.49,0.0,28954.52
126,126,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-11-11,11.11.2008,97741,CME,0,97,130102,61568,65876,621,8327,24650,3208,31068,12508,48,3136,11758,0,107976,118669,22126,11433,602.0,4460.0,611.0,252.0,796.0,2590.0,-104.0,1291.0,1513.0,-59.0,-20.0,1677.0,0.0,6616.0,6480.0,-6014.0,-5878.0,100,47.3,50.6,0.5,6.4,18.9,2.5,23.9,9.6,0.0,2.4,9.0,0.0,83.0,91.2,17.0,8.8,87,12.0,13.0,5.0,5.0,5.0,4.0,24.0,17.0,,6.0,5.0,0.0,55.0,44.0,38.6,50.5,53.0,66.9,38.6,48.3,52.9,64.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.425922526161,SHORT,-0.033803082138,LONG,-0.494981350638,SHORT,2008-11-17,3775.84,5299.96,-0.003987467363,-0.194676396731,2.01469409577,0.224853826681,3775.84,-60204.79,0.0,14667.49,0.0,28954.52
127,127,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-11-18,18.11.2008,97741,CME,0,97,129694,53724,68475,532,8231,22940,3215,37316,9617,477,3116,12574,0,106611,117830,23083,11864,-408.0,-7844.0,2599.0,-89.0,-96.0,-1710.0,7.0,6248.0,-2891.0,429.0,-20.0,816.0,0.0,-1365.0,-839.0,957.0,431.0,100,41.4,52.8,0.4,6.3,17.7,2.5,28.8,7.4,0.4,2.4,9.7,0.0,82.2,90.9,17.8,9.1,87,12.0,13.0,4.0,5.0,5.0,4.0,26.0,15.0,5.0,6.0,5.0,0.0,57.0,43.0,38.4,49.7,51.3,67.8,38.4,47.4,51.3,65.3,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,0.59018174845,SHORT,-0.120712935458,LONG,-0.471880914953,SHORT,2008-11-24,2775.36,148.73,0.023100435685,-0.0139148090139,1.4523565021,0.194052929625,2775.36,-57429.43,0.0,14667.49,0.0,28954.52
