,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1,Trade_Date,CALL_AUDUSD,PUT_AUDUSD,Returns,Basic_PL,Total_Basic_PL,AR_Forecast_Returns,AR_Forecast_Diff,AR_Comb_Forecast,AR_Comb_PL,Total_AR_Comb_PL,Forecast_Volatility,hvol21,GARCH_PL,Total_GARCH__PL
123,123,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-10-21,21.10.2008,232741,CME,0,232,57785,21829,18942,302,9407,4370,110,1762,11349,5,4374,600,0,37789,35678,19996,22107,10389.0,-1035.0,2866.0,-11.0,8394.0,-1179.0,-643.0,203.0,-55.0,0.0,-3822.0,0.0,0.0,3086.0,978.0,7303.0,9411.0,100,37.8,32.8,0.5,16.3,7.6,0.2,3.0,19.6,0.0,7.6,1.0,0.0,65.4,61.7,34.6,38.3,42,8.0,8.0,,,,,5.0,13.0,,,,0.0,18.0,29.0,46.3,33.7,59.3,42.9,45.9,33.7,58.8,42.9,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.73121806117,LONG,0.0708101346545,SHORT,0.365609348915,LONG,2008-10-27,9571.1,-43466.37,-0.10350933119,-43466.37,-100027.54,-0.00977745102982,0.0701177920305,0.0701177920305,0.0,-62325.04,0.170851287014,0.356157758144,-43466.37,-96509.37
124,124,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-10-28,28.10.2008,232741,CME,0,232,72743,22495,29240,602,20848,3921,101,1852,13483,4,2640,0,0,48542,47351,24201,25392,14958.0,666.0,10298.0,300.0,11441.0,-449.0,-9.0,90.0,2134.0,-1.0,-1734.0,-600.0,0.0,10753.0,11673.0,4205.0,3285.0,100,30.9,40.2,0.8,28.7,5.4,0.1,2.5,18.5,0.0,3.6,0.0,0.0,66.7,65.1,33.3,34.9,39,7.0,9.0,4.0,,,,5.0,12.0,,,0.0,0.0,17.0,28.0,52.7,38.4,61.7,47.9,52.3,38.4,60.9,47.9,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.758461036844,LONG,-0.130375954383,LONG,0.683394565788,LONG,2008-11-03,7760.73,5551.92,-0.201186089038,7760.73,-92266.81,-0.0189957349646,-0.127899367308,-0.127899367308,7760.73,-54564.31,0.176801792329,0.295847946857,7760.73,-88748.64
125,125,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-11-04,04.11.2008,232741,CME,0,232,67219,21225,32967,602,25216,4495,88,3755,10113,4,3840,4832,63,54793,53164,12426,14055,-5524.0,-1270.0,3727.0,0.0,4368.0,574.0,-13.0,1903.0,-3370.0,0.0,1200.0,4832.0,63.0,6251.0,5813.0,-11775.0,-11337.0,100,31.6,49.0,0.9,37.5,6.7,0.1,5.6,15.0,0.0,5.7,7.2,0.1,81.5,79.1,18.5,20.9,43,7.0,9.0,4.0,,,,8.0,11.0,,,,,21.0,29.0,63.5,50.3,73.5,62.1,63.1,50.2,73.0,62.0,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.45846553216,LONG,-0.21667404783,LONG,0.697418464542,LONG,2008-11-10,6639.12,4725.42,-0.086298093447,6639.12,-85627.69,-0.00815313343487,-0.214907475406,-0.214907475406,6639.12,-47925.19,0.165738424338,0.30321936458,6639.12,-82109.52
126,126,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-11-11,11.11.2008,232741,CME,0,232,65790,21712,28551,644,25671,4458,88,3547,11151,13,1200,6781,63,52938,51749,12852,14041,-1429.0,487.0,-4416.0,42.0,455.0,-37.0,0.0,-208.0,1038.0,9.0,-2640.0,1949.0,0.0,-1855.0,-1415.0,426.0,-14.0,100,33.0,43.4,1.0,39.0,6.8,0.1,5.4,16.9,0.0,1.8,10.3,0.1,80.5,78.7,19.5,21.3,42,7.0,9.0,4.0,,,,5.0,13.0,,,,,19.0,31.0,66.3,44.7,74.1,57.9,65.9,44.6,73.7,57.8,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.517349299224,LONG,-0.136064301773,LONG,0.7040724883,LONG,2008-11-17,7724.5,5396.01,0.080609746057,7724.5,-77903.19,0.00759886212072,-0.137098235642,-0.137098235642,7724.5,-40200.69,0.155838332669,0.318784261101,7724.5,-74385.02
127,127,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-11-18,18.11.2008,232741,CME,0,232,63207,20724,28494,520,26534,4458,88,3576,9578,5,1200,5091,63,52710,48297,10497,14910,-2583.0,-988.0,-57.0,-124.0,863.0,0.0,0.0,29.0,-1573.0,-8.0,0.0,-1690.0,0.0,-228.0,-3452.0,-2355.0,869.0,100,32.8,45.1,0.8,42.0,7.1,0.1,5.7,15.2,0.0,1.9,8.1,0.1,83.4,76.4,16.6,23.6,37,6.0,8.0,,,,,6.0,10.0,,,,,18.0,25.0,70.6,48.3,77.9,60.7,70.2,48.2,77.5,60.6,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.45628706097,LONG,-0.157869072291,LONG,0.71231285493,LONG,2008-11-24,6676.84,4759.26,-0.021804770518,6676.84,-71226.35,-0.00206654972999,-0.157542828002,-0.157542828002,6676.84,-33523.85,0.143973528204,0.367795585004,6676.84,-67708.18
128,128,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-11-25,25.11.2008,232741,CME,0,232,69320,21100,31083,2234,27225,4351,82,4219,10367,21,1200,5360,63,56144,53561,13176,15759,6113.0,376.0,2589.0,1714.0,691.0,-107.0,-6.0,643.0,789.0,16.0,0.0,269.0,0.0,3434.0,5264.0,2679.0,849.0,100,30.4,44.8,3.2,39.3,6.3,0.1,6.1,15.0,0.0,1.7,7.7,0.1,81.0,77.3,19.0,22.7,37,6.0,9.0,5.0,,,,6.0,9.0,,,,,18.0,27.0,65.5,44.5,74.2,57.8,65.3,44.4,72.4,57.2,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.421500068559,LONG,-0.191307513941,LONG,0.724410945022,LONG,2008-12-01,5609.19,3987.91,-0.03343844165,5609.19,-65617.16,-0.00316448219685,-0.190702124719,-0.190702124719,5609.19,-27914.66,0.134090123142,0.242669523206,5609.19,-62098.99
129,129,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-12-02,02.12.2008,232741,CME,0,232,71412,22372,31386,4166,27444,4351,79,3330,10822,0,1200,5125,141,58732,56070,12680,15342,2092.0,1272.0,303.0,1932.0,219.0,0.0,-3.0,-889.0,455.0,-21.0,0.0,-235.0,78.0,2588.0,2509.0,-496.0,-417.0,100,31.3,44.0,5.8,38.4,6.1,0.1,4.7,15.2,0.0,1.7,7.2,0.2,82.2,78.5,17.8,21.5,39,7.0,10.0,4.0,,,,5.0,9.0,0.0,,,,19.0,27.0,63.7,45.3,75.0,59.1,63.5,43.0,70.7,55.8,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.529395138496,LONG,-0.16767736895,LONG,0.726309168108,LONG,2008-12-08,4568.18,3156.8,0.023630144991,4568.18,-61048.98,0.00222138898693,-0.168049845611,-0.168049845611,4568.18,-23346.48,0.125250271962,0.223205657841,4568.18,-57530.81
130,130,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-12-09,09.12.2008,232741,CME,0,232,68074,22504,32639,5252,22162,4167,79,1795,6811,0,1700,5881,0,53492,54829,14582,13245,-3338.0,132.0,1253.0,1086.0,-5282.0,-184.0,0.0,-1535.0,-4011.0,0.0,500.0,756.0,-141.0,-5240.0,-1241.0,1902.0,-2097.0,100,33.1,47.9,7.7,32.6,6.1,0.1,2.6,10.0,0.0,2.5,8.6,0.0,78.6,80.5,21.4,19.5,36,8.0,10.0,6.0,,,,4.0,5.0,0.0,,,0.0,21.0,22.0,56.5,53.2,68.4,67.0,56.2,50.8,64.6,61.8,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.582849174994,LONG,-0.183794860635,LONG,0.683466899616,LONG,2008-12-15,4555.78,3248.08,-0.016117491685,4555.78,-56493.2,-0.00152981046617,-0.183513689334,-0.183513689334,4555.78,-18790.7,0.117456907459,0.114002802667,0.0,-57530.81
131,131,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-12-16,16.12.2008,232741,CME,0,232,28784,8584,10998,11,2608,3656,80,2362,4034,0,1848,861,0,15493,19640,13291,9144,-39290.0,-13920.0,-21641.0,-5241.0,-19554.0,-511.0,1.0,567.0,-2777.0,0.0,148.0,-5020.0,0.0,-37999.0,-35189.0,-1291.0,-4101.0,100,29.8,38.2,0.0,9.1,12.7,0.3,8.2,14.0,0.0,6.4,3.0,0.0,53.8,68.2,46.2,31.8,28,5.0,6.0,,,,,5.0,,0.0,,,0.0,15.0,16.0,30.8,39.5,44.6,58.6,30.8,39.5,44.3,58.6,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.261413383365,LONG,-0.123276478399,LONG,-0.167305236271,SHORT,2008-12-22,3846.42,3112.22,0.060518382236,3846.42,-52646.78,0.00570273145031,-0.123979491049,-0.123979491049,3846.42,-14944.28,0.113345494076,0.187032028735,3846.42,-53684.39
132,132,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-12-22,22.12.2008,232741,CME,0,232,32564,11089,7668,4,626,6790,1236,5166,5307,9,2353,1745,0,20483,22759,12081,9805,3780.0,2505.0,-3330.0,-7.0,-1982.0,3134.0,1156.0,2804.0,1273.0,9.0,505.0,884.0,0.0,4990.0,3119.0,-1210.0,661.0,100,34.1,23.5,0.0,1.9,20.9,3.8,15.9,16.3,0.0,7.2,5.4,0.0,62.9,69.9,37.1,30.1,31,7.0,,,,4.0,,6.0,5.0,,,,0.0,18.0,17.0,26.5,40.9,41.6,59.7,26.5,37.4,41.6,56.2,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.0134631910627,LONG,0.182385242843,SHORT,-0.83117583603,SHORT,2008-12-29,3446.3,-13582.24,0.305661721242,-13582.24,-66229.02,0.0288382342402,0.187644911198,0.187644911198,-13582.24,-28526.52,0.164134257523,0.497869763742,-13582.24,-67266.63
133,133,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2008-12-30,30.12.2008,232741,CME,0,232,33147,9574,10470,8,626,6471,1266,6476,4438,0,1950,1700,0,19900,24353,13247,8794,583.0,-1515.0,2802.0,4.0,0.0,-319.0,30.0,1310.0,-869.0,-9.0,-403.0,-45.0,0.0,-583.0,1594.0,1166.0,-1011.0,100,28.9,31.6,0.0,1.9,19.5,3.8,19.5,13.4,0.0,5.9,5.1,0.0,60.0,73.5,40.0,26.5,35,6.0,6.0,,,4.0,,9.0,6.0,0.0,,,0.0,20.0,19.0,25.0,39.2,39.5,57.8,25.0,35.7,38.9,54.3,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.18673263698,SHORT,-0.044701656356,LONG,-0.823587431309,SHORT,2009-01-05,-3778.87,3838.34,-0.227086899199,-3778.87,-70007.89,-0.0214401345073,-0.043743246831,-0.043743246831,0.0,-28526.52,0.176875621212,0.496474826595,-3778.87,-71045.5
134,134,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-01-06,06.01.2009,232741,CME,0,232,38208,8819,12992,14,734,8735,1168,9382,4275,0,2633,1700,0,22750,28884,15458,9324,5061.0,-755.0,2522.0,6.0,108.0,2264.0,-98.0,2906.0,-163.0,0.0,683.0,0.0,0.0,2850.0,4531.0,2211.0,530.0,100,23.1,34.0,0.0,1.9,22.9,3.1,24.6,11.2,0.0,6.9,4.4,0.0,59.5,75.6,40.5,24.4,39,6.0,7.0,,,5.0,,12.0,4.0,0.0,,,0.0,24.0,18.0,22.5,38.0,35.9,55.9,22.5,35.1,35.9,53.0,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.373947426228,SHORT,-0.19132547797,LONG,-0.844967789629,SHORT,2009-01-12,4152.18,3397.46,-0.146623821614,4152.18,-65855.71,-0.0138463986811,-0.188676309124,-0.188676309124,4152.18,-24374.34,0.172648375767,0.435811003981,4152.18,-66893.32
135,135,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-01-13,13.01.2009,232741,CME,0,232,39676,14109,9299,105,709,8939,1188,5899,7712,1,4411,2206,11,26433,29461,13243,10215,1468.0,5290.0,-3693.0,91.0,-25.0,204.0,20.0,-3483.0,3437.0,1.0,1778.0,506.0,11.0,3683.0,577.0,-2215.0,891.0,100,35.6,23.4,0.3,1.8,22.5,3.0,14.9,19.4,0.0,11.1,5.6,0.0,66.6,74.3,33.4,25.7,41,7.0,5.0,,,5.0,,9.0,8.0,,4.0,,,23.0,25.0,32.5,35.6,45.1,51.2,32.3,32.8,44.5,48.3,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.133201087356,LONG,0.20548530417,SHORT,-0.853026533997,SHORT,2009-01-19,4299.8,3483.89,0.39681078214,3483.89,-62371.82,0.0374404641081,0.213178769326,0.213178769326,3483.89,-20890.45,0.226127785351,0.439409024518,3483.89,-63409.43
136,136,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-01-20,20.01.2009,232741,CME,0,232,45585,20370,8433,305,696,11485,1211,5641,10040,1,4993,2194,11,33228,33680,12357,11905,5909.0,6261.0,-866.0,200.0,-13.0,2546.0,23.0,-258.0,2328.0,0.0,582.0,-12.0,0.0,6795.0,4219.0,-886.0,1690.0,100,44.7,18.5,0.7,1.5,25.2,2.7,12.4,22.0,0.0,11.0,4.8,0.0,72.9,73.9,27.1,26.1,43,9.0,4.0,,,5.0,,7.0,11.0,,4.0,,,23.0,27.0,37.8,37.1,49.6,52.4,37.7,34.7,49.5,49.8,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.280530578407,LONG,0.41443599625,SHORT,-0.885723668008,SHORT,2009-01-26,-6585.67,3390.24,0.20895069208,3390.24,-58981.58,0.0197110913447,0.422604982029,0.422604982029,3390.24,-17500.21,0.22230663168,0.439193203384,3390.24,-60019.19
137,137,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-01-27,27.01.2009,232741,CME,0,232,45177,17970,9632,309,706,11626,1198,7558,8358,1,5494,2226,11,33247,33361,11930,11816,-408.0,-2400.0,1199.0,4.0,10.0,141.0,-13.0,1917.0,-1682.0,0.0,501.0,32.0,0.0,19.0,-319.0,-427.0,-89.0,100,39.8,21.3,0.7,1.6,25.7,2.7,16.7,18.5,0.0,12.2,4.9,0.0,73.6,73.8,26.4,26.2,45,9.0,4.0,,,5.0,,10.0,9.0,,4.0,,,26.0,26.0,33.4,38.9,45.5,53.6,33.4,36.0,45.3,50.6,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.0502638853983,LONG,0.302079559452,SHORT,-0.885501135258,SHORT,2009-02-02,4425.33,-37337.03,-0.112356436798,-37337.03,-96318.61,-0.0106124002367,0.298873770264,0.298873770264,-37337.03,-54837.24,0.2071019547,0.478267502319,-37337.03,-97356.22
138,138,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-02-03,03.02.2009,232741,CME,0,232,48632,20547,9885,335,706,12644,1181,6832,8020,1,6960,3066,11,36573,35143,12059,13489,3455.0,2577.0,253.0,26.0,0.0,1018.0,-17.0,-726.0,-338.0,0.0,1466.0,840.0,0.0,3326.0,1782.0,129.0,1673.0,100,42.2,20.3,0.7,1.5,26.0,2.4,14.0,16.5,0.0,14.3,6.3,0.0,75.2,72.3,24.8,27.7,47,9.0,4.0,,,6.0,,10.0,9.0,,4.0,4.0,,26.0,28.0,37.6,37.1,50.3,51.5,37.6,34.9,50.2,48.8,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.0799892270401,LONG,0.35035488959,SHORT,-0.894232209738,SHORT,2009-02-09,-5643.37,3245.52,0.048275330138,3245.52,-93073.09,0.00454728840577,0.351948054317,0.351948054317,3245.52,-51591.72,0.18964560491,0.523323703138,3245.52,-94110.7
139,139,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-02-10,10.02.2009,232741,CME,0,232,44254,14692,10042,611,685,12473,1148,6634,6477,9,7265,2703,11,31055,33474,13199,10780,-4378.0,-5855.0,157.0,276.0,-21.0,-171.0,-33.0,-198.0,-1543.0,8.0,305.0,-363.0,0.0,-5518.0,-1669.0,1140.0,-2709.0,100,33.2,22.7,1.4,1.5,28.2,2.6,15.0,14.6,0.0,16.4,6.1,0.0,70.2,75.6,29.8,24.4,46,8.0,4.0,4.0,,6.0,,9.0,10.0,,5.0,,,26.0,28.0,30.8,40.9,44.3,54.4,30.2,38.0,43.5,51.5,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.0119746777515,SHORT,0.188000323441,SHORT,-0.895880832953,SHORT,2009-02-16,4053.82,3327.82,-0.162354566149,3327.82,-89745.27,-0.0153309941246,0.185118091587,0.185118091587,3327.82,-48263.9,0.185375291001,0.352392797467,3327.82,-90782.88
140,140,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-02-17,17.02.2009,232741,CME,0,232,48452,19589,9758,575,680,12850,1150,5765,8322,9,6794,2720,11,34573,35395,13879,13057,4198.0,4897.0,-284.0,-36.0,-5.0,377.0,2.0,-869.0,1845.0,0.0,-471.0,17.0,0.0,3518.0,1921.0,680.0,2277.0,100,40.4,20.1,1.2,1.4,26.5,2.4,11.9,17.2,0.0,14.0,5.6,0.0,71.4,73.1,28.6,26.9,47,10.0,4.0,5.0,,7.0,,8.0,10.0,,4.0,,,26.0,30.0,34.0,36.8,47.4,50.7,33.5,34.5,46.5,48.3,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.181514871868,LONG,0.334991651617,SHORT,-0.89948263119,SHORT,2009-02-23,3630.16,3109.57,0.146991328176,3109.57,-86635.7,0.0138636510582,0.339635858982,0.339635858982,3109.57,-45154.33,0.179773348025,0.302214827451,3109.57,-87673.31
141,141,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-02-24,24.02.2009,232741,CME,0,232,45886,14641,11437,615,1350,4657,4982,4716,8394,14,6308,3170,11,32637,33280,13249,12606,-2566.0,-4948.0,1679.0,40.0,670.0,-8193.0,3832.0,-1049.0,72.0,5.0,-486.0,450.0,0.0,-1936.0,-2115.0,-630.0,-451.0,100,31.9,24.9,1.3,2.9,10.1,10.9,10.3,18.3,0.0,13.7,6.9,0.0,71.1,72.5,28.9,27.5,47,10.0,5.0,7.0,,4.0,,8.0,10.0,,4.0,4.0,,26.0,33.0,35.5,33.5,47.8,48.1,26.0,27.3,37.0,40.2,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.280549199085,LONG,0.122862182683,SHORT,-0.550524388214,SHORT,2009-03-02,3124.62,2713.75,-0.212129468934,2713.75,-83921.95,-0.0200285209141,0.120401434888,0.120401434888,2713.75,-42440.58,0.18578190871,0.351811376196,2713.75,-84959.56
142,142,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-03-03,03.03.2009,232741,CME,0,232,49180,15531,11554,2208,2075,4657,3469,6508,8623,16,6073,3443,11,35891,33981,13289,15199,3294.0,890.0,117.0,1593.0,725.0,0.0,-1513.0,1792.0,229.0,2.0,-235.0,273.0,0.0,3254.0,701.0,40.0,2593.0,100,31.6,23.5,4.5,4.2,9.5,7.1,13.2,17.5,0.0,12.3,7.0,0.0,73.0,69.1,27.0,30.9,50,11.0,5.0,6.0,,4.0,,10.0,10.0,,4.0,,,31.0,30.0,31.3,29.9,42.9,44.0,25.6,28.0,35.1,39.8,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.13977926112,LONG,0.146834040982,SHORT,-0.383541295306,SHORT,2009-03-09,2873.14,-19216.2,0.023971858299,-19216.2,-103138.15,0.00225363832001,0.147164951803,0.147164951803,-19216.2,-61656.78,0.170159059244,0.379572041766,-19216.2,-104175.76
143,143,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-03-10,10.03.2009,232741,CME,0,232,68898,14516,18084,20042,2153,4727,3458,5570,8888,36,5882,2643,341,51998,58219,16900,10679,19718.0,-1015.0,6530.0,17834.0,78.0,70.0,-11.0,-938.0,265.0,20.0,-191.0,-800.0,330.0,16107.0,24238.0,3611.0,-4520.0,100,21.1,26.2,29.1,3.1,6.9,5.0,8.1,12.9,0.1,8.5,3.8,0.5,75.5,84.5,24.5,15.5,49,10.0,6.0,5.0,,4.0,,10.0,9.0,,5.0,,,32.0,26.0,38.5,52.9,52.8,64.1,16.7,26.9,23.7,35.5,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,-0.22949232259,LONG,-0.109447852761,LONG,-0.374127906977,SHORT,2009-03-16,2926.16,-26730.76,-0.256281893743,2926.16,-100211.99,-0.0241954240471,-0.106799715552,-0.106799715552,2926.16,-58730.62,0.187697639014,0.426908911252,2926.16,-101249.6
144,144,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-03-17,17.03.2009,232741,CME,0,232,50497,13292,27695,12,5242,4727,104,11963,6732,0,3346,1700,0,33959,40970,16538,9527,-18401.0,-1224.0,9611.0,-20030.0,3089.0,0.0,-3354.0,6393.0,-2156.0,-36.0,-2536.0,-943.0,-341.0,-18039.0,-17249.0,-362.0,-1152.0,100,26.3,54.8,0.0,10.4,9.4,0.2,23.7,13.3,0.0,6.6,3.4,0.0,67.2,81.1,32.8,18.9,48,,8.0,,,4.0,,15.0,10.0,0.0,4.0,,0.0,26.0,25.0,36.5,53.3,47.4,65.8,36.5,53.3,47.4,65.8,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.279807435143,SHORT,-0.35140410374,LONG,0.051660146454,LONG,2009-03-23,-5849.31,3168.28,-0.241956250979,-5849.31,-106061.3,-0.0228434356575,-0.343376826706,-0.343376826706,-5849.31,-64579.93,0.197703523475,0.441220169447,-5849.31,-107098.91
145,145,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-03-24,24.03.2009,232741,CME,0,232,58361,12046,38710,145,5796,4727,104,19554,4181,26,3396,2257,0,41067,50150,17294,8211,7864.0,-1246.0,11015.0,133.0,554.0,0.0,0.0,7591.0,-2551.0,26.0,50.0,557.0,0.0,7108.0,9180.0,756.0,-1316.0,100,20.6,66.3,0.2,9.9,8.1,0.2,33.5,7.2,0.0,5.8,3.9,0.0,70.4,85.9,29.6,14.1,52,,10.0,,,4.0,,21.0,5.0,,4.0,,0.0,32.0,23.0,33.5,59.4,45.0,71.8,33.5,59.4,45.0,71.8,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.647693279966,SHORT,-0.525336905982,LONG,0.101586999905,LONG,2009-03-30,3162.77,-12878.49,-0.173932802242,3162.77,-102898.53,-0.016423694887,-0.516708932925,-0.516708932925,3162.77,-61417.16,0.193675762673,0.437754094771,3162.77,-103936.14
146,146,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2009-03-31,31.03.2009,232741,CME,0,232,63184,12701,45606,299,6836,5309,101,22074,2324,0,2960,2077,0,44971,55716,18213,7468,4823.0,655.0,6896.0,154.0,1040.0,582.0,-3.0,2520.0,-1857.0,-26.0,-436.0,-180.0,0.0,3904.0,5566.0,919.0,-743.0,100,20.1,72.2,0.5,10.8,8.4,0.2,34.9,3.7,0.0,4.7,3.3,0.0,71.2,88.2,28.8,11.8,53,4.0,10.0,,,5.0,,21.0,4.0,0.0,4.0,,0.0,33.0,23.0,33.1,65.7,44.8,75.4,33.1,65.7,44.8,75.4,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.809492581359,SHORT,-0.5643404737,LONG,0.125730753396,LONG,2009-04-06,3086.32,2921.72,-0.039003567718,3086.32,-99812.21,-0.00368969324356,-0.562258230467,-0.562258230467,3086.32,-58330.84,0.177505986165,0.423007110972,3086.32,-100849.82
